ID,TAXONOMY,IS_HCP
116005,-1,0
116006,-1,0
116007,-1,0
116008,-1,0
116009,-1,0
116010,2084A0401X,1
116011,2084N0400X,1
116012,208000000X,1
116013,-1,1
116014,-1,0
116015,2084P2900X,1
116016,-1,0
116017,-1,0
116018,-1,0
116019,-1,0
116020,-1,0
116021,-1,0
116022,2084P0800X,1
116023,-1,0
116024,-1,0
116025,2084N0400X,1
116026,2084N0400X,1
116027,-1,0
116028,-1,0
116029,207Q00000X,1
116030,207N00000X,1
116031,-1,0
116032,-1,0
116033,-1,0
116034,207RP1001X,1
116035,2084P0802X,1
116036,-1,0
116037,-1,0
116038,207W00000X,1
116039,-1,0
116040,-1,0
116041,174400000X,1
116042,-1,0
116043,-1,0
116044,-1,0
116045,2084P0015X,1
116046,-1,0
116047,-1,0
116048,-1,0
116049,-1,0
116050,-1,0
116051,2084P0800X,1
116052,207RG0100X,1
116053,207Q00000X,1
116054,-1,0
116055,-1,0
116056,207RH0003X,1
116057,-1,0
116058,-1,0
116059,-1,0
116060,207Q00000X,1
116061,-1,0
116062,-1,0
116063,-1,0
116064,2084N0400X,1
116065,207RH0002X,1
116066,2084N0400X,1
116067,-1,0
116068,-1,0
116069,207RC0000X,1
116070,2084P0800X,1
116071,-1,0
116072,207RC0000X,1
116073,-1,0
116074,2084S0012X,1
116075,-1,0
116076,207W00000X,1
116077,-1,0
116078,-1,0
116079,2084P0800X,1
116080,-1,0
116081,-1,0
116082,208000000X,1
116083,-1,0
116084,-1,0
116085,2084P0800X,1
116086,-1,0
116087,207Q00000X,1
116088,-1,0
116089,-1,0
116090,-1,0
116091,-1,0
116092,207R00000X,1
116093,-1,0
116094,-1,0
116095,-1,0
116096,-1,0
116097,2084P0800X,1
116098,207RH0002X,1
116099,-1,0
116100,2084N0400X,1
116101,-1,0
116102,-1,0
116103,-1,0
116104,-1,0
116105,-1,0
116106,2084N0400X,1
116107,-1,0
116108,-1,0
116109,-1,0
116110,-1,0
116111,-1,0
116112,-1,0
116113,-1,0
116114,-1,0
116115,207RC0200X,1
116116,-1,0
116117,-1,0
116118,-1,0
116119,-1,0
116120,-1,0
116121,-1,0
116122,-1,0
116123,-1,0
116124,-1,0
116125,2084N0400X,1
116126,-1,0
116127,2084P0800X,1
116128,207RH0003X,1
116129,-1,0
116130,-1,0
116131,-1,0
116132,-1,0
116133,-1,0
116134,207RP1001X,1
116135,-1,1
116136,2084N0400X,1
116137,-1,0
116138,-1,0
116139,-1,0
116140,-1,0
116141,-1,0
116142,-1,0
116143,-1,0
116144,-1,0
116145,-1,0
116146,-1,0
116147,207Q00000X,1
116148,-1,0
116149,-1,0
116150,-1,0
116151,-1,0
116152,2084P0802X,1
116153,2084N0400X,1
116154,-1,0
116155,-1,0
116156,-1,0
116157,-1,0
116158,-1,0
116159,2084N0400X,1
116160,2084N0400X,1
116161,-1,0
116162,-1,0
116163,-1,0
116164,-1,0
116165,-1,0
116166,207R00000X,1
116167,-1,0
116168,207Q00000X,1
116169,-1,0
116170,-1,0
116171,-1,1
116172,2084N0400X,1
116173,2084N0400X,1
116174,-1,0
116175,-1,0
116176,-1,0
116177,-1,0
116178,2084P0800X,1
116179,-1,0
116180,-1,0
116181,-1,0
116182,-1,0
116183,-1,0
116184,-1,0
116185,-1,0
116186,-1,0
116187,-1,0
116188,-1,0
116189,-1,0
116190,-1,0
116191,-1,0
116192,-1,0
116193,-1,0
116194,-1,0
116195,-1,0
116196,-1,0
116197,-1,0
116198,-1,0
116199,-1,0
116200,2084P0800X,1
116201,-1,0
116202,2084N0400X,1
116203,-1,0
116204,207R00000X,1
116205,-1,0
116206,-1,0
116207,-1,0
116208,-1,0
116209,-1,0
116210,-1,0
116211,-1,0
116212,-1,0
116213,-1,0
116214,-1,0
116215,-1,0
116216,-1,0
116217,-1,0
116218,-1,0
116219,2084P0800X,1
116220,-1,0
116221,-1,0
116222,2084N0400X,1
116223,-1,0
116224,-1,0
116225,2084P0800X,1
116226,-1,0
116227,-1,0
116228,363LF0000X,1
116229,2084N0400X,1
116230,-1,0
116231,-1,0
116232,-1,0
116233,-1,0
116234,-1,0
116235,-1,0
116236,2084N0400X,1
116237,363LF0000X,1
116238,-1,0
116239,2084N0400X,1
116240,207RG0100X,1
116241,-1,0
116242,-1,0
116243,-1,0
116244,2084P0800X,1
116245,-1,0
116246,2084P0800X,1
116247,-1,0
116248,-1,0
116249,-1,0
116250,-1,0
116251,-1,0
116252,-1,0
116253,207Q00000X,1
116254,1223P0221X,1
116255,2084P0800X,1
116256,-1,0
116257,-1,0
116258,-1,0
116259,-1,0
116260,-1,0
116261,-1,0
116262,-1,0
116263,-1,0
116264,-1,0
116265,-1,0
116266,2084P0800X,1
116267,208800000X,1
116268,-1,0
116269,-1,0
116270,-1,0
116271,-1,0
116272,-1,0
116273,2084P0804X,1
116274,-1,0
116275,-1,0
116276,-1,0
116277,-1,0
116278,-1,0
116279,-1,0
116280,-1,1
116281,207Q00000X,1
116282,-1,0
116283,-1,0
116284,-1,0
116285,-1,0
116286,-1,0
116287,2084P0800X,1
116288,-1,0
116289,-1,0
116290,2084N0400X,1
116291,2084N0400X,1
116292,-1,1
116293,-1,0
116294,-1,0
116295,2084P0804X,1
116296,-1,0
116297,208000000X,1
116298,2084P0800X,1
116299,-1,0
116300,-1,0
116301,-1,0
116302,207R00000X,1
116303,-1,0
116304,207R00000X,1
116305,2084P0800X,1
116306,2084N0400X,1
116307,-1,0
116308,-1,0
116309,-1,0
116310,-1,0
116311,-1,1
116312,-1,0
116313,2084P0800X,1
116314,-1,0
116315,-1,0
116316,-1,0
116317,207X00000X,1
116318,-1,0
116319,207RG0100X,1
116320,-1,0
116321,-1,0
116322,-1,0
116323,-1,0
116324,-1,0
116325,-1,0
116326,-1,0
116327,-1,0
116328,-1,0
116329,-1,0
116330,208VP0014X,1
116331,-1,0
116332,2084N0400X,1
116333,-1,0
116334,-1,0
116335,2084N0400X,1
116336,-1,0
116337,-1,0
116338,2084N0400X,1
116339,-1,0
116340,-1,0
116341,-1,0
116342,207RH0000X,1
116343,207VE0102X,1
116344,-1,0
116345,208000000X,1
116346,-1,0
116347,-1,0
116348,-1,0
116349,-1,0
116350,-1,0
116351,2084N0600X,1
116352,-1,0
116353,-1,1
116354,-1,0
116355,-1,0
116356,-1,0
116357,2084P0800X,1
116358,-1,0
116359,-1,0
116360,-1,0
116361,2084N0400X,1
116362,-1,0
116363,-1,0
116364,-1,0
116365,2084P0800X,1
116366,-1,0
116367,-1,0
116368,-1,0
116369,-1,0
116370,2084N0400X,1
116371,-1,0
116372,207Q00000X,1
116373,-1,0
116374,-1,0
116375,-1,0
116376,-1,0
116377,-1,0
116378,-1,0
116379,-1,0
116380,-1,0
116381,-1,0
116382,-1,0
116383,-1,0
116384,-1,0
116385,-1,0
116386,-1,0
116387,-1,0
116388,207N00000X,1
116389,-1,0
116390,-1,0
116391,-1,0
116392,2084N0400X,1
116393,-1,0
116394,2084P0800X,1
116395,-1,0
116396,-1,0
116397,-1,0
116398,-1,0
116399,2084P0800X,1
116400,-1,0
116401,-1,0
116402,-1,0
116403,-1,0
116404,2084P0800X,1
116405,-1,0
116406,2084F0202X,1
116407,-1,0
116408,-1,0
116409,-1,0
116410,-1,0
116411,-1,0
116412,-1,0
116413,-1,0
116414,-1,0
116415,-1,0
116416,-1,0
116417,-1,0
116418,2084N0400X,1
116419,-1,0
116420,-1,0
116421,-1,0
116422,-1,0
116423,-1,0
116424,207Q00000X,1
116425,-1,0
116426,-1,0
116427,2084N0400X,1
116428,-1,0
116429,-1,0
116430,-1,0
116431,2084P0800X,1
116432,2084N0400X,1
116433,-1,0
116434,207Q00000X,1
116435,-1,0
116436,2084P0804X,1
116437,-1,0
116438,2084N0400X,1
116439,-1,0
116440,-1,0
116441,1223P0221X,1
116442,-1,0
116443,-1,0
116444,-1,0
116445,2084N0400X,1
116446,-1,0
116447,-1,0
116448,-1,0
116449,-1,0
116450,-1,0
116451,-1,0
116452,-1,0
116453,-1,0
116454,-1,0
116455,-1,0
116456,-1,0
116457,-1,0
116458,207Q00000X,1
116459,-1,0
116460,-1,0
116461,207Q00000X,1
116462,-1,0
116463,-1,0
116464,-1,0
116465,-1,0
116466,207RC0000X,1
116467,-1,0
116468,-1,0
116469,-1,0
116470,-1,0
116471,-1,0
116472,-1,1
116473,2084N0400X,1
116474,207Q00000X,1
116475,-1,0
116476,207R00000X,1
116477,2084P0800X,1
116478,-1,0
116479,-1,0
116480,2084P0800X,1
116481,2084N0400X,1
116482,-1,0
116483,-1,0
116484,2084N0400X,1
116485,-1,0
116486,-1,0
116487,-1,0
116488,-1,0
116489,-1,0
116490,-1,0
116491,2084P0800X,1
116492,2084N0400X,1
116493,-1,0
116494,-1,0
116495,207R00000X,1
116496,2084N0400X,1
116497,2084P0804X,1
116498,-1,0
116499,207RG0100X,1
116500,-1,0
116501,2084N0400X,1
116502,-1,0
116503,-1,0
116504,-1,0
116505,-1,0
116506,-1,0
116507,-1,0
116508,-1,0
116509,-1,0
116510,-1,0
116511,-1,0
116512,-1,0
116513,2085R0001X,1
116514,-1,0
116515,-1,0
116516,-1,0
116517,-1,0
116518,207RH0003X,1
116519,-1,0
116520,-1,0
116521,-1,0
116522,2084P0800X,1
116523,-1,0
116524,-1,0
116525,207RE0101X,1
116526,2084P0800X,1
116527,-1,0
116528,-1,0
116529,2084P0800X,1
116530,2084N0400X,1
116531,2084N0400X,1
116532,-1,0
116533,2084P0800X,1
116534,-1,0
116535,2084N0400X,1
116536,2084P0804X,1
116537,-1,0
116538,-1,0
116539,-1,0
116540,-1,0
116541,2084P0800X,1
116542,-1,0
116543,207Q00000X,1
116544,-1,0
116545,207L00000X,1
116546,-1,0
116547,-1,0
116548,2084P0800X,1
116549,2084P0800X,1
116550,-1,0
116551,2084N0400X,1
116552,2084N0402X,1
116553,-1,0
116554,-1,0
116555,-1,0
116556,-1,0
116557,390200000X,1
116558,207L00000X,1
116559,-1,0
116560,-1,0
116561,-1,0
116562,-1,0
116563,207R00000X,1
116564,207P00000X,1
116565,-1,0
116566,-1,0
116567,-1,0
116568,2084P0800X,1
116569,-1,0
116570,-1,0
116571,-1,0
116572,-1,0
116573,-1,0
116574,-1,0
116575,-1,0
116576,2084P0800X,1
116577,207Q00000X,1
116578,-1,0
116579,-1,0
116580,363A00000X,1
116581,-1,0
116582,-1,0
116583,-1,0
116584,-1,0
116585,-1,0
116586,-1,0
116587,-1,0
116588,-1,0
116589,2084P0800X,1
116590,207NS0135X,1
116591,-1,0
116592,-1,0
116593,-1,0
116594,207Q00000X,1
116595,-1,1
116596,-1,0
116597,-1,0
116598,2084N0400X,1
116599,-1,0
116600,363LF0000X,1
116601,-1,0
116602,-1,0
116603,2084N0400X,1
116604,-1,0
116605,2084P0800X,1
116606,-1,0
116607,207Q00000X,1
116608,-1,0
116609,-1,0
116610,2084N0400X,1
116611,-1,0
116612,-1,0
116613,-1,0
116614,-1,0
116615,-1,0
116616,207RP1001X,1
116617,2084N0400X,1
116618,-1,0
116619,-1,0
116620,2084P0800X,1
116621,207Y00000X,1
116622,2084P0800X,1
116623,-1,0
116624,207RH0003X,1
116625,-1,0
116626,-1,0
116627,207RI0200X,1
116628,-1,0
116629,-1,0
116630,-1,0
116631,-1,0
116632,-1,0
116633,2084N0400X,1
116634,-1,0
116635,-1,0
116636,-1,0
116637,2084P0800X,1
116638,2084P0800X,1
116639,2084P0800X,1
116640,-1,0
116641,-1,0
116642,-1,0
116643,-1,0
116644,-1,0
116645,2084P0800X,1
116646,2084P0804X,1
116647,-1,0
116648,-1,0
116649,-1,0
116650,-1,0
116651,-1,0
116652,2084N0400X,1
116653,2084S0012X,1
116654,-1,0
116655,-1,0
116656,-1,0
116657,-1,0
116658,2084P0800X,1
116659,-1,0
116660,-1,0
116661,-1,0
116662,-1,0
116663,-1,0
116664,-1,0
116665,207RG0100X,1
116666,-1,1
116667,207Q00000X,1
116668,-1,0
116669,-1,0
116670,-1,0
116671,207VG0400X,1
116672,-1,0
116673,-1,0
116674,-1,0
116675,-1,0
116676,2081P2900X,1
116677,208000000X,1
116678,-1,0
116679,-1,0
116680,-1,0
116681,-1,0
116682,207R00000X,1
116683,-1,0
116684,-1,0
116685,2084P0800X,1
116686,-1,0
116687,363LA2200X,1
116688,-1,0
116689,-1,0
116690,2084P0800X,1
116691,-1,0
116692,2084P0805X,1
116693,-1,0
116694,-1,0
116695,-1,0
116696,-1,0
116697,-1,0
116698,-1,0
116699,-1,0
116700,2084N0400X,1
116701,-1,0
116702,2084N0400X,1
116703,-1,0
116704,2084N0400X,1
116705,-1,0
116706,-1,0
116707,2083X0100X,1
116708,-1,0
116709,2084P0800X,1
116710,-1,0
116711,-1,0
116712,-1,0
116713,-1,0
116714,2080P0008X,1
116715,-1,0
116716,208000000X,1
116717,-1,0
116718,207RI0011X,1
116719,-1,0
116720,-1,1
116721,2085R0001X,1
116722,-1,0
116723,208000000X,1
116724,-1,0
116725,-1,0
116726,-1,0
116727,-1,0
116728,-1,0
116729,-1,0
116730,-1,0
116731,-1,0
116732,-1,0
116733,2084P0800X,1
116734,2084P0800X,1
116735,-1,0
116736,-1,0
116737,-1,0
116738,207R00000X,1
116739,-1,0
116740,207V00000X,1
116741,-1,0
116742,-1,0
116743,-1,0
116744,2084N0400X,1
116745,-1,0
116746,-1,0
116747,2084N0400X,1
116748,-1,0
116749,-1,0
116750,-1,0
116751,-1,0
116752,-1,0
116753,-1,0
116754,363LF0000X,1
116755,-1,0
116756,-1,0
116757,-1,0
116758,-1,0
116759,2084P0804X,1
116760,-1,0
116761,-1,0
116762,2084N0400X,1
116763,-1,0
116764,-1,0
116765,-1,0
116766,2084N0400X,1
116767,-1,0
116768,-1,0
116769,-1,0
116770,-1,0
116771,-1,0
116772,-1,1
116773,2084P0800X,1
116774,-1,0
116775,-1,0
116776,-1,0
116777,-1,0
116778,-1,0
116779,-1,0
116780,207P00000X,1
116781,207N00000X,1
116782,-1,0
116783,-1,0
116784,207RI0011X,1
116785,-1,0
116786,-1,0
116787,-1,0
116788,-1,0
116789,-1,0
116790,-1,0
116791,-1,0
116792,-1,0
116793,-1,0
116794,2084P0800X,1
116795,-1,0
116796,-1,0
116797,207T00000X,1
116798,-1,0
116799,207R00000X,1
116800,-1,0
116801,2084N0400X,1
116802,2084N0400X,1
116803,-1,0
116804,2084N0400X,1
116805,2084P0800X,1
116806,2084P0800X,1
116807,-1,0
116808,-1,0
116809,208M00000X,1
116810,-1,1
116811,207R00000X,1
116812,-1,0
116813,-1,0
116814,-1,1
116815,2084P0800X,1
116816,-1,0
116817,-1,0
116818,-1,0
116819,-1,0
116820,2084P0800X,1
116821,-1,0
116822,-1,0
116823,-1,0
116824,-1,0
116825,-1,0
116826,-1,0
116827,-1,0
116828,-1,0
116829,207R00000X,1
116830,-1,0
116831,-1,0
116832,-1,0
116833,-1,0
116834,-1,0
116835,2084S0012X,1
116836,-1,0
116837,-1,0
116838,-1,0
116839,-1,0
116840,-1,0
116841,-1,0
116842,-1,0
116843,2084N0400X,1
116844,207Q00000X,1
116845,-1,0
116846,2084N0400X,1
116847,-1,0
116848,-1,0
116849,-1,0
116850,122300000X,1
116851,-1,0
116852,-1,0
116853,-1,0
116854,-1,0
116855,-1,0
116856,2084P0800X,1
116857,-1,0
116858,-1,0
116859,2084N0400X,1
116860,-1,0
116861,2084V0102X,1
116862,207RG0100X,1
116863,207RG0300X,1
116864,-1,0
116865,2084P0800X,1
116866,-1,0
116867,-1,0
116868,-1,0
116869,2084P0800X,1
116870,-1,0
116871,-1,0
116872,2084N0400X,1
116873,-1,0
116874,-1,0
116875,-1,0
116876,-1,0
116877,207Q00000X,1
116878,2084N0400X,1
116879,-1,0
116880,-1,0
116881,2084N0400X,1
116882,-1,0
116883,-1,0
116884,-1,0
116885,-1,0
116886,-1,0
116887,-1,0
116888,-1,0
116889,-1,0
116890,207RG0100X,1
116891,-1,0
116892,-1,0
116893,-1,0
116894,-1,1
116895,2084N0400X,1
116896,-1,0
116897,2084N0400X,1
116898,2084V0102X,1
116899,-1,0
116900,-1,0
116901,-1,0
116902,-1,0
116903,2084N0400X,1
116904,-1,0
116905,-1,0
116906,-1,0
116907,2084N0400X,1
116908,-1,0
116909,-1,0
116910,363LF0000X,1
116911,207QG0300X,1
116912,2084N0400X,1
116913,-1,0
116914,208D00000X,1
116915,-1,0
116916,-1,0
116917,-1,0
116918,2084N0400X,1
116919,-1,0
116920,2084N0400X,1
116921,207Q00000X,1
116922,-1,0
116923,207Q00000X,1
116924,-1,0
116925,-1,0
116926,-1,0
116927,-1,0
116928,-1,0
116929,-1,0
116930,-1,0
116931,-1,0
116932,-1,0
116933,-1,0
116934,-1,0
116935,207R00000X,1
116936,2084P0800X,1
116937,-1,0
116938,-1,0
116939,-1,0
116940,-1,0
116941,-1,0
116942,-1,0
116943,208000000X,1
116944,363LF0000X,1
116945,-1,0
116946,-1,0
116947,207R00000X,1
116948,-1,0
116949,-1,0
116950,-1,0
116951,-1,0
116952,207Q00000X,1
116953,-1,0
116954,2084P0800X,1
116955,2084N0400X,1
116956,-1,0
116957,-1,0
116958,-1,0
116959,-1,0
116960,2084P0015X,1
116961,2084N0400X,1
116962,-1,0
116963,207RP1001X,1
116964,207Q00000X,1
116965,-1,0
116966,-1,0
116967,-1,0
116968,-1,0
116969,207Q00000X,1
116970,-1,0
116971,2084P0800X,1
116972,207R00000X,1
116973,-1,0
116974,208800000X,1
116975,-1,0
116976,2084N0402X,1
116977,-1,0
116978,-1,0
116979,-1,0
116980,-1,0
116981,-1,0
116982,-1,0
116983,2084P0800X,1
116984,207VX0000X,1
116985,207R00000X,1
116986,207R00000X,1
116987,-1,0
116988,208000000X,1
116989,-1,0
116990,-1,0
116991,2084N0400X,1
116992,207Q00000X,1
116993,-1,0
116994,2084N0400X,1
116995,-1,0
116996,-1,0
116997,2084P0800X,1
116998,-1,0
116999,-1,0
117000,363LP0200X,1
117001,-1,0
117002,-1,0
117003,2084N0400X,1
117004,-1,0
117005,-1,0
117006,-1,0
117007,-1,0
117008,-1,0
117009,-1,0
117010,-1,1
117011,2084P0800X,1
117012,-1,0
117013,-1,0
117014,-1,0
117015,-1,0
117016,-1,0
117017,-1,0
117018,-1,0
117019,2084N0400X,1
117020,-1,0
117021,207R00000X,1
117022,-1,0
117023,2084P0804X,1
117024,-1,0
117025,-1,0
117026,2084P0800X,1
117027,-1,0
117028,-1,1
117029,-1,0
117030,-1,0
117031,-1,0
117032,-1,0
117033,-1,0
117034,-1,0
117035,-1,0
117036,-1,0
117037,-1,0
117038,-1,0
117039,-1,0
